Nom du jeu;Plateforme;Studio de développement;Date de sortie
Super Ghouls 'n Ghosts;Super Nintendo;Capcom;10/12/1992
Super Goal!;Super Nintendo;Tose;1992
Super Hockey;Super Nintendo;Sculptured Software;1993
Super Ice Hockey;Super Nintendo;Opera House;1994
Super International Cricket;Super Nintendo;Beam Software;07/1995
Super James Pond;Super Nintendo;Vectordean;09/1993
Super Loopz;Super Nintendo;Graffiti;Cancelled
Super Mario All-Stars;Super Nintendo;Nintendo EAD;16/12/1993
Super Mario All-Stars + Super Mario World;Super Nintendo;Nintendo EAD;1995
Super Mario Kart;Super Nintendo;Nintendo EAD;21/01/1993
Super Mario World;Super Nintendo;Nintendo EAD;11/04/1992
Super Mario World 2: Yoshi's Island;Super Nintendo;Nintendo EAD;05/10/1995
Super Metroid;Super Nintendo;Nintendo R&D1 / Intelligent Systems;28/07/1994
Super Morph;Super Nintendo;Millennium Interactive;1993
Super Off Road;Super Nintendo;Software Creations;24/06/1993
Super Pinball: Behind the Mask;Super Nintendo;KAZe;08/08/1994
Super Probotector: Alien Rebels;Super Nintendo;Konami;19/11/1992
Super Punch-Out!!;Super Nintendo;Nintendo R&D3 / Locomotive Corporation;10/02/1995
Super Putty;Super Nintendo;System 3;1993
Super R-Type;Super Nintendo;Irem;04/06/1992
Super Smash TV;Super Nintendo;Beam Software;18/02/1993
Super Soccer;Super Nintendo;Human Entertainment;11/04/1992
Super Star Wars;Super Nintendo;LucasArts / Sculptured Software;02/04/1993
Super Star Wars: Return of the Jedi;Super Nintendo;LucasArts / Sculptured Software;30/03/1995
Super Star Wars: The Empire Strikes Back;Super Nintendo;LucasArts / Sculptured Software;18/02/1994
Super Street Fighter II: The New Challengers;Super Nintendo;Capcom;02/12/1994
Super Strike Eagle;Super Nintendo;MicroProse;25/11/1993
Super Strike Gunner;Super Nintendo;Athena;11/1992
Super SWIV;Super Nintendo;Sales Curve Interactive;19/08/1993
Super Tennis;Super Nintendo;Tose;11/04/1992
Super Troll Islands;Super Nintendo;Millennium Interactive;1994
Super Turrican;Super Nintendo;Factor 5;1993
Super Turrican 2;Super Nintendo;Factor 5;05/1995
Super Widget;Super Nintendo;Atlus;1993
Syndicate;Super Nintendo;Bullfrog Productions;01/1995
Syvalion;Super Nintendo;Taito;11/1992
T2: The Arcade Game;Super Nintendo;Probe Entertainment;01/1994
Targa;Super Nintendo;Rainbow Arts;Cancelled
Taz-Mania;Super Nintendo;Visual Concepts;1993
Tecmo Super NBA Basketball;Super Nintendo;Sculptured Software;1993
Teenage Mutant Hero Turtles IV: Turtles in Time;Super Nintendo;Konami;19/11/1992
Teenage Mutant Hero Turtles: Tournament Fighters;Super Nintendo;Konami;12/1993
Terminator 2: Judgment Day;Super Nintendo;Bits Studios;1993
Terranigma;Super Nintendo;Quintet;19/12/1996
Tetris & Dr. Mario;Super Nintendo;Nintendo;27/07/1995
Tetris 2;Super Nintendo;Tose;1995
Tetris Attack;Super Nintendo;Intelligent Systems;28/11/1996
The Addams Family;Super Nintendo;Ocean Software;19/11/1992
The Addams Family: Pugsley's Scavenger Hunt;Super Nintendo;Ocean Software;1992
The Adventures of Batman & Robin;Super Nintendo;Konami;1994
The Adventures of Dr. Franken;Super Nintendo;MotiveTime;1993
The Adventures of Mighty Max;Super Nintendo;WJS Design;1995
The Adventures of Tintin: Prisoners of the Sun;Super Nintendo;Infogrames;09/02/1997
The Blues Brothers;Super Nintendo;Titus Software;1993
The Brainies;Super Nintendo;Titus Software;1996
The Chaos Engine;Super Nintendo;Bitmap Brothers;07/1994
The Chessmaster;Super Nintendo;Eastridge Technology;1992
The Death and Return of Superman;Super Nintendo;Blizzard Entertainment;11/1994
The Duel: Test Drive II;Super Nintendo;Distinctive Software;1992
The Firemen;Super Nintendo;Human Entertainment;03/1995
The Flintstones;Super Nintendo;Ocean Software;04/1995
The Flintstones: The Treasure of Sierra Madrock;Super Nintendo;Taito / Sol Corporation;23/06/1994
The Great Circus Mystery Starring Mickey & Minnie;Super Nintendo;Capcom;27/04/1995
The Humans;Super Nintendo;Imagitec Design;31/12/1993
The Hunt for Red October;Super Nintendo;Riedel Software Productions;1993
The Incredible Crash Dummies;Super Nintendo;Gray Matter;1993
The Incredible Hulk;Super Nintendo;Probe Entertainment;1993
The Itchy & Scratchy Game;Super Nintendo;Bits Studios;1995
